Sample Name	Num Samples	ROC-AUC	Pval
GSE21496	21	0.40	0.368
GSE117070	82	0.05	7.31e-17
GSE43856	16	0.14	0.00832
GSE71972	16	0.22	0.767
GSE5105	44	0.00	1.15e-22
E-MEXP-740	32	0.35	0.0856
GSE7286	18	0.35	0.164
GSE24235	21	0.19	0.0333
GSE27285	23	0.32	0.0765
GSE139258	12	0.06	0.00316
GSE104999	24	0.31	0.0909
GSE126001	16	0.31	0.286
GSE199225	60	0.15	4.15e-07
GSE122671	88	0.39	0.0494
GSE126296	14	0.41	0.575
GSE1718	6	0.33	0.435
GSE44051	48	0.12	8.17e-06
GSE1786	12	0.33	0.436
GSE1832	8	0.13	0.203
GSE4252	8	0.31	0.465
GSE8479	39	0.28	0.00319
GSE16907	16	0.27	0.135
GSE40551	16	0.11	0.00331
GSE43760	24	0.38	0.532
GSE53598	36	0.37	0.198
